City,Temperature_C°,Temperature_Max_C°,Weather_description,Humidity_%,Wind_speed_m/s,Time
Milan,-1.82,-0.01,clear sky,87,1.54,2025-01-15 06:59:51
Bologna,-0.52,1.47,clear sky,73,3.09,2025-01-15 06:59:51
Cagliari,5.51,5.51,scattered clouds,64,1.54,2025-01-15 06:59:51
Palermo,5.87,5.87,overcast clouds,92,1.42,2025-01-15 06:59:51
Naples,5.31,6.18,clear sky,67,3.09,2025-01-15 06:59:51
Milan,-1.16,-0.01,scattered clouds,86,1.8,2025-01-15 07:16:01
Bologna,-0.33,1.47,few clouds,73,0.45,2025-01-15 07:16:01
Cagliari,3.88,4.95,clear sky,87,3.6,2025-01-15 07:16:01
Palermo,5.87,5.87,overcast clouds,92,1.42,2025-01-15 07:16:01
Naples,4.97,5.62,clear sky,67,3.09,2025-01-15 07:16:01
Milan,-2.14,-0.01,clear sky,87,2.06,2025-01-15 07:29:37
Bologna,-0.48,0.89,few clouds,73,1.34,2025-01-15 07:29:37
Cagliari,4.64,5.51,clear sky,76,4.12,2025-01-15 07:29:37
Palermo,5.87,5.87,overcast clouds,92,1.42,2025-01-15 07:29:37
Naples,4.96,5.9,clear sky,68,3.09,2025-01-15 07:29:37
Milan,-2.14,-0.01,clear sky,87,2.06,2025-01-15 07:30:07
Bologna,-0.48,0.89,few clouds,73,1.34,2025-01-15 07:30:07
Cagliari,4.64,5.51,clear sky,76,4.12,2025-01-15 07:30:07
Palermo,5.87,5.87,overcast clouds,92,1.42,2025-01-15 07:30:07
Naples,4.96,5.9,clear sky,68,3.09,2025-01-15 07:30:07
Milan,-2.0,-0.03,clear sky,88,1.54,2025-01-15 07:45:02
Bologna,-0.27,1.13,overcast clouds,72,0.89,2025-01-15 07:45:02
Cagliari,4.6,5.51,scattered clouds,78,4.12,2025-01-15 07:45:02
Palermo,5.87,5.87,overcast clouds,92,1.35,2025-01-15 07:45:02
Naples,4.97,5.9,clear sky,70,3.09,2025-01-15 07:45:02
Milan,-2.0,-0.03,clear sky,88,1.54,2025-01-15 07:54:06
Bologna,-0.48,0.58,overcast clouds,73,0.89,2025-01-15 07:54:06
Cagliari,4.6,5.51,scattered clouds,78,4.12,2025-01-15 07:54:06
Palermo,6.43,6.43,overcast clouds,93,1.35,2025-01-15 07:54:06
Naples,5.3,6.18,clear sky,70,3.09,2025-01-15 07:54:06
Milan,-2.0,-0.03,clear sky,88,1.54,2025-01-15 08:00:02
Bologna,-0.48,0.58,overcast clouds,73,0.89,2025-01-15 08:00:02
Cagliari,4.6,5.51,scattered clouds,78,4.12,2025-01-15 08:00:02
Palermo,6.43,6.43,overcast clouds,93,1.35,2025-01-15 08:00:02
Naples,5.3,6.18,clear sky,70,3.09,2025-01-15 08:00:02
Milan,-2.0,-0.03,clear sky,88,1.54,2025-01-15 08:00:03
Bologna,-0.48,0.58,overcast clouds,73,0.89,2025-01-15 08:00:03
Cagliari,4.6,5.51,scattered clouds,78,4.12,2025-01-15 08:00:03
Palermo,6.43,6.43,overcast clouds,93,1.35,2025-01-15 08:00:03
Naples,5.3,6.18,clear sky,70,3.09,2025-01-15 08:00:03
Milan,-2.0,-0.03,clear sky,88,1.54,2025-01-15 08:01:17
