City,Temperature_C°,Temperature_Min_C°,Temperature_Max_C°,Weather_description,Humidity_%,Wind_speed_m/s,Time
Milan,3.94,1.87,5.01,clear sky,71,2.06,2025-01-15 17:44:57
Bologna,4.78,3.85,5.5,clear sky,65,0.51,2025-01-15 17:44:57
Cagliari,10.52,9.88,11.06,few clouds,49,3.09,2025-01-15 17:44:57
Palermo,6.99,6.99,7.11,broken clouds,89,0.76,2025-01-15 17:44:57
Naples,8.4,8.34,8.9,scattered clouds,61,3.09,2025-01-15 17:44:57
Milan,3.94,1.87,5.01,clear sky,71,2.06,2025-01-15 17:45:02
Bologna,4.78,3.85,5.5,clear sky,65,0.51,2025-01-15 17:45:02
Cagliari,10.52,9.88,11.06,few clouds,49,3.09,2025-01-15 17:45:02
Palermo,6.99,6.99,7.11,broken clouds,89,0.76,2025-01-15 17:45:02
Naples,8.4,8.34,8.9,scattered clouds,61,3.09,2025-01-15 17:45:02
Milan,3.94,1.87,5.01,clear sky,71,2.06,2025-01-15 17:48:57
Bologna,4.78,3.85,5.5,clear sky,65,0.51,2025-01-15 17:48:57
Cagliari,10.52,9.88,11.06,few clouds,49,3.09,2025-01-15 17:48:57
Palermo,6.99,6.99,7.11,broken clouds,89,0.76,2025-01-15 17:48:57
Naples,8.4,8.34,8.9,scattered clouds,61,3.09,2025-01-15 17:48:57
Palermo,6.99,6.99,7.11,broken clouds,89,0.76,2025-01-15 17:53:01
Catania,11.86,11.04,12.0,broken clouds,81,1.03,2025-01-15 17:53:01
Cagliari,10.52,9.88,11.06,few clouds,49,3.09,2025-01-15 17:53:01
Sassari,8.88,8.27,8.88,broken clouds,80,1.4,2025-01-15 17:53:01
Bari,6.54,6.19,7.25,few clouds,75,3.6,2025-01-15 17:53:01
Provincia di Lecce,7.94,7.94,8.25,few clouds,81,2.06,2025-01-15 17:53:01
Naples,8.4,8.11,8.9,scattered clouds,62,3.09,2025-01-15 17:53:01
Rome,-5.27,-6.15,-4.79,broken clouds,78,3.13,2025-01-15 17:53:01
Milan,3.57,2.3,4.37,clear sky,72,2.06,2025-01-15 17:53:01
Bologna,4.52,3.85,5.5,clear sky,67,0.51,2025-01-15 17:53:01
Florence,7.59,4.29,8.36,few clouds,36,3.58,2025-01-15 17:53:01
Provincia di Genova,2.36,1.83,3.75,few clouds,94,2.34,2025-01-15 17:53:01
Province of Turin,0.69,0.07,2.35,clear sky,58,1.54,2025-01-15 17:53:01
Palermo,6.99,6.99,7.11,broken clouds,89,0.76,2025-01-15 17:53:11
Catania,11.86,11.04,12.0,broken clouds,81,1.03,2025-01-15 17:53:11
Cagliari,10.52,9.88,11.06,few clouds,49,3.09,2025-01-15 17:53:11
Sassari,8.88,8.27,8.88,broken clouds,80,1.4,2025-01-15 17:53:11
Bari,6.54,6.19,7.25,few clouds,75,3.6,2025-01-15 17:53:11
Provincia di Lecce,7.94,7.94,8.25,few clouds,81,2.06,2025-01-15 17:53:11
Naples,8.4,8.11,8.9,scattered clouds,62,3.09,2025-01-15 17:53:11
